Value
23
27
28
19
25
25
18
23
26
13
18
21
18
26
29
12
20
23
15
19
20
21
25
26
26
28
27
23
25
24
21
23
22
24
26
25
27
27
25
26
26
24
20
20
18
17
17
15
16
15
11
18
17
13
24
23
19
30
22
11
15
16
18
8
11
16
15
20
26
26
28
27
17
21
22
22
26
27
19
25
25
18
23
26
14
19
22
18
26
29
12
20
23
12
16
17
18
22
23
23
25
24
21
23
22
20
22
21
24
26
25
27
27
25
26
26
24
23
23
21
19
19
17
19
18
14
26
25
21
26
22
13
25
24
20
26
26
26
21
25
28
17
22
26
21
21
21
24
28
27
20
24
25
19
25
25
19
24
27
14
19
22
18
26
29
13
21
24
11
15
16
16
20
21
21
23
22
19
21
20
19
21
20
23
25
24
27
27
25
26
26
24
21
21
19
17
17
15
21
20
16
29
22
14
17
14
9
22
22
22
19
19
19
25
25
25
18
22
23
19
25
25
20
25
28
15
20
23
19
27
30
14
22
25
14
18
19
18
22
23
21
23
22
18
20
19
19
21
20
23
25
24
26
26
24
24
24
22
19
19
17
15
15
13
21
20
16
5
13
26
27
22
18
15
14
12
27
27
27
26
26
28
27
27
29
29
30
22
22
27
30
16
20
21
19
25
25
21
26
29
15
20
23
19
27
30
14
22
25
20
24
25
22
26
27
22
24
23
19
21
20
19
21
20
23
25
24
24
24
22
21
21
19
22
22
20
17
17
15
21
20
16
5
14
29
10
18
29
28
27
25
24
25
27
22
23
27
21
26
29
14
18
19
19
25
25
22
27
30
16
21
24
19
27
30
15
23
26
24
28
29
24
28
29
23
25
24
18
20
19
19
21
20
22
24
23
23
23
21
19
19
17
18
18
16
16
16
14
24
23
19
15
19
22
22
26
29
21
26
30
20
25
29
12
16
17
19
25
25
16
21
24
16
24
27
23
27
28
22
26
27
20
22
21
16
18
17
17
19
18
22
24
23
23
23
21
18
18
16
12
12
10
15
15
13
29
28
24
11
15
16
19
25
25
17
22
25
16
24
27
20
24
25
19
23
24
17
19
18
14
16
15
16
18
17
22
24
23
23
23
21
19
19
17
14
14
12
18
18
16
25
29
28
16
20
21
20
26
26
19
24
27
15
20
24
17
25
28
17
25
28
17
21
22
23
27
28
27
29
28
20
22
21
15
17
16
15
17
16
19
19
17
20
20
18
14
14
12
16
16
14
18
28
29
19
24
30
24
28
27
16
20
21
20
26
26
18
23
26
16
21
25
17
25
28
16
24
27
17
21
22
23
27
28
26
28
27
21
23
22
16
18
17
17
19
18
21
21
19
22
22
20
16
16
14
18
18
16
25
22
29
17
27
28
16
21
27
24
28
27
16
20
21
19
25
25
18
23
26
17
22
26
18
26
29
15
23
26
17
21
22
22
26
27
26
28
27
21
23
22
18
20
19
20
22
21
24
24
22
24
24
22
19
19
17
22
22
20
18
28
30
24
28
27
17
21
22
20
26
26
19
24
27
20
25
29
15
23
26
17
21
22
22
26
27
25
27
26
22
24
23
20
22
21
24
26
25
27
27
25
27
27
25
21
21
19
26
26
24
25
29
28
19
23
24
21
27
27
20
25
28
15
23
26
18
22
23
22
26
27
25
27
26
22
24
23
23
25
24
27
29
28
30
30
28
29
29
27
23
23
21
29
29
27
24
28
27
19
23
24
21
27
27
22
27
30
20
25
28
14
22
25
20
24
25
23
27
28
26
28
27
23
25
24
25
27
26
30
30
28
23
23
21
16
25
30
19
27
30
22
26
25
17
21
22
19
25
25
19
24
27
18
23
26
11
19
22
23
27
28
25
29
30
26
28
27
24
26
25
26
28
27
30
30
28
22
22
20
24
21
30
12
21
26
19
23
22
15
19
20
17
23
23
17
22
25
16
21
24
9
17
20
24
28
29
27
29
28
25
27
26
27
29
28
30
30
28
21
21
19
26
20
30
10
19
24
15
24
29
8
25
17
10
25
18
14
26
22
18
29
25
21
30
27
24
28
27
24
25
27
22
23
25
17
26
23
19
28
23
20
29
24
20
27
20
30
11
13
15
26
22
21
30
27
6
23
15
7
22
15
9
21
17
12
23
19
17
26
23
24
28
27
21
30
25
16
25
20
19
28
23
18
25
18
16
26
25
10
27
19
9
24
17
9
21
17
9
20
16
12
18
16
16
20
19
21
22
24
25
25
27
24
28
27
24
28
27
21
27
23
20
26
22
22
27
21
19
29
30
17
27
26
20
30
29
11
26
19
12
27
20
14
26
22
15
24
21
15
21
19
18
20
19
19
19
21
20
20
22
15
17
16
23
25
24
27
23
24
19
22
29
15
25
27
14
24
25
16
26
27
10
25
18
5
20
13
9
24
17
18
29
25
21
30
27
23
27
26
23
25
24
23
23
25
24
22
25
13
13
13
15
22
30
28
26
27
23
24
28
14
22
25
12
20
23
15
25
27
10
25
18
5
20
13
12
25
18
17
28
24
21
27
25
19
23
22
18
18
18
19
17
20
22
17
21
18
23
29
21
24
29
6
24
26
18
23
29
15
20
26
17
24
30
12
27
20
15
28
21
18
27
24
17
23
21
18
20
19
23
21
22
25
28
21
21
26
30
12
18
30
11
29
29
19
22
29
15
28
21
16
29
22
17
28
22
17
26
23
20
24
23
28
28
28
17
21
30
17
21
30
17
21
30
17
21
30
17
21
30
20
23
28
20
23
28
19
24
30
19
14
21
5
18
11
5
18
11
16
27
21
19
25
23
21
23
22
27
27
27
8
21
27
18
23
29
20
24
27
19
23
26
18
23
27
17
22
28
15
22
30
16
29
22
23
25
24
24
22
23
30
24
26
18
21
28
15
18
25
15
18
25
18
21
28
18
21
26
15
18
23
16
19
24
19
22
27
21
25
28
20
24
27
20
23
28
18
23
27
18
23
29
12
21
30
12
19
29
12
19
29
28
14
11
6
19
12
13
24
18
23
27
26
24
24
24
25
26
30
21
25
28
21
25
28
20
24
27
20
24
27
19
24
28
19
24
28
30
19
17
12
23
17
9
20
14
17
26
21
19
23
22
21
21
21
30
26
27
24
25
30
21
22
26
21
22
26
20
21
25
18
19
23
20
21
23
25
26
28
21
25
28
20
24
27
20
24
27
19
23
26
19
23
26
20
24
27
20
24
27
21
25
28
24
25
30
24
25
30
24
25
30
17
28
22
24
26
25
21
19
20
24
18
20
22
11
15
27
14
21
24
25
29
24
25
27
22
23
25
18
19
21
18
19
21
22
23
25
20
24
27
20
24
27
19
23
24
19
23
24
21
22
24
21
22
24
22
23
25
23
23
25
27
27
29
25
25
27
23
21
24
23
21
24
24
22
25
25
23
26
25
23
26
24
22
25
26
15
13
29
18
16
30
25
29
30
26
27
13
24
18
10
21
15
20
29
24
24
26
25
24
22
23
30
19
23
26
26
26
25
25
25
28
28
28
20
25
28
21
25
28
20
24
25
20
24
25
22
24
23
23
23
23
24
24
24
25
24
22
29
25
24
27
23
22
27
23
22
28
24
23
30
26
27
30
26
27
28
18
17
15
26
20
14
25
19
9
18
13
16
22
18
19
21
20
27
25
26
29
29
29
24
24
24
20
20
20
20
20
20
24
24
24
22
27
30
23
27
28
24
25
27
24
26
25
26
26
24
27
26
24
30
26
23
30
25
22
29
21
19
15
19
4
15
19
4
16
20
5
18
22
7
20
24
10
21
25
11
22
26
12
23
27
13
24
28
14
24
27
16
25
28
17
25
28
17
25
28
17
26
29
18
26
29
18
26
29
18
19
30
22
7
18
12
10
21
15
15
24
19
21
27
23
21
23
22
27
23
24
30
30
30
27
27
27
29
29
29
25
29
30
26
27
29
27
27
27
29
28
26
29
21
18
29
21
18
19
27
29
23
20
29
29
22
30
21
22
27
20
21
26
18
19
24
16
17
22
15
16
21
14
15
20
14
15
20
13
14
19
11
12
17
12
13
18
14
15
20
15
16
21
17
18
23
17
18
23
18
19
24
18
19
24
18
11
19
17
10
18
15
10
17
14
9
16
14
9
16
14
9
15
12
10
